#,Pattern,,Time (msec),,,,,Cumulative
,,,Absolute,vs. best,vs. mean,vs. median,,
1736,[469] N1 S1 N4 N6 S3 N3 N5 N2 S5,1,963.7333333,37.16666667,18.86743976,19.8,0.000140625,0.977756546
1737,[346] N1 N2 S1 N4 S2 N3 N5 N2 S1,3,963.7333333,37.16666667,18.86743976,19.8,2.63672E-05,0.977782913
1738,[347] N1 N2 S1 N1 N2 N5 N3 S3 S2,3,963.7333333,37.16666667,18.86743976,19.8,6.5918E-06,0.977789505
1739,[521] N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 S7,0,963.7666667,37.2,18.9007731,19.83333333,4.88281E-07,0.977789993
1740,[522] N1 N2 N5 S7 N3 S3 N6 N4 S2,0,963.7666667,37.2,18.9007731,19.83333333,7.8125E-06,0.977797806
1741,[523] N1 N2 N5 S5 N2 N5 S7 N3 N5 S7,0,963.8,37.23333333,18.93410643,19.86666667,2.44141E-07,0.97779805
1742,[403] N1 N2 N5 N3 S2 N4 S8 N1 N2 S5,2,963.8,37.23333333,18.93410643,19.86666667,2.63672E-05,0.977824417
1743,[348] N1 N2 N5 S5 S4 N1 N2 N5 N3 S2,3,963.8,37.23333333,18.93410643,19.86666667,1.31836E-05,0.977837601
1744,[524] N1 N2 N5 S7 N3 N5 N2 S5 N5 S7,0,963.8333333,37.26666667,18.96743976,19.9,4.88281E-07,0.977838089
1745,[404] N1 N2 N5 N3 S3 S2 N3 N5 S5,2,963.8333333,37.26666667,18.96743976,19.9,2.63672E-05,0.977864456
1746,[405] N1 N2 N5 S7 N3 N5 N2 S5 S4,2,963.8333333,37.26666667,18.96743976,19.9,2.63672E-05,0.977890823
1747,[525] N1 N2 N5 N3 S7 N5 N2 S5 N5 S7,0,963.8666667,37.3,19.0007731,19.93333333,1.95313E-06,0.977892776
1748,[526] N1 N2 N5 N3 S7 N5 S5 N2 N5 S7,0,963.8666667,37.3,19.0007731,19.93333333,9.76563E-07,0.977893753
1749,[406] N1 N2 S5 N5 S7 N3 N5 N2 S5,2,963.8666667,37.3,19.0007731,19.93333333,2.63672E-05,0.97792012
1750,[407] N1 N2 N5 N3 S7 N5 N2 S5 S4,2,963.8666667,37.3,19.0007731,19.93333333,0.000105469,0.978025589
1751,[470] N1 N2 N5 S7 N3 N5 S7 N7 S3,1,963.9,37.33333333,19.03410643,19.96666667,1.75781E-05,0.978043167
1752,[408] N1 N2 N5 N3 S2 S3 N3 N5 S5,2,963.9,37.33333333,19.03410643,19.96666667,1.31836E-05,0.978056351
1753,[471] N1 N2 N5 S7 N7 S3 N3 N5 S7,1,963.9333333,37.36666667,19.06743976,20,1.75781E-05,0.978073929
1754,[409] N1 N2 N5 N3 S2 S1 N2 N5 N3 S7,2,963.9333333,37.36666667,19.06743976,20,2.63672E-05,0.978100296
1755,[349] N1 N2 N5 N3 S2 S3 N6 N4 S8,3,963.9333333,37.36666667,19.06743976,20,2.63672E-05,0.978126663
1756,[350] N1 S1 N4 N6 S3 N3 N5 S7,3,963.9666667,37.4,19.1007731,20.03333333,0.000210938,0.978337601
1757,[351] N1 S1 N2 N5 N3 S7 N5 N2 S5,3,963.9666667,37.4,19.1007731,20.03333333,2.63672E-05,0.978363968
1758,[352] N1 S1 N2 N5 S7 N3 N5 N2 S5,3,963.9666667,37.4,19.1007731,20.03333333,6.5918E-06,0.97837056
1759,[527] N1 N2 N5 S7 N3 N5 S5 N2 N5 S7,0,964,37.43333333,19.13410643,20.06666667,2.44141E-07,0.978370804
1760,[472] N1 S8 N4 N6 S3 N3 N5 N2 N1 S4,1,964,37.43333333,19.13410643,20.06666667,0.00028125,0.978652054
1761,[353] N1 N2 S5 N5 N3 S2 N4 N6 S3,3,964,37.43333333,19.13410643,20.06666667,5.27344E-05,0.978704788
1762,[354] N1 N2 S5 N5 N2 S5 N5 N2 N1 S1,3,964,37.43333333,19.13410643,20.06666667,1.31836E-05,0.978717972
1763,[410] N1 N2 N5 N3 S2 S1 N2 N5 N3 S3,2,964.0333333,37.46666667,19.16743976,20.1,1.31836E-05,0.978731155
1764,[411] N1 N2 N5 S7 N3 N5 N2 N1 S1 S2,2,964.0333333,37.46666667,19.16743976,20.1,6.5918E-06,0.978737747
1765,[412] N1 N2 S5 N5 N3 S7 N5 N2 S5,2,964.0333333,37.46666667,19.16743976,20.1,5.27344E-05,0.978790482
1766,[355] N1 N2 N5 S5 N2 N5 S5 N2 N1 S1,3,964.0333333,37.46666667,19.16743976,20.1,1.64795E-06,0.97879213
1767,[528] N1 N2 N5 N3 S3 S2 N3 N5 N2 S5,0,964.0666667,37.5,19.2007731,20.13333333,1.95313E-06,0.978794083
1768,[473] N1 N2 N5 N3 S3 N7 S7 N3 S2,1,964.0666667,37.5,19.2007731,20.13333333,7.03125E-05,0.978864395
1769,[413] N1 N2 N5 N3 S7 N5 N2 N1 S1 S2,2,964.0666667,37.5,19.2007731,20.13333333,2.63672E-05,0.978890762
1770,[529] N1 N2 N5 N3 S2 S3 N3 N5 N2 S5,0,964.1333333,37.56666667,19.26743976,20.2,9.76563E-07,0.978891739
1771,[530] N1 S1 N4 N6 S3 N3 N5 N2 N1 S1,0,964.1333333,37.56666667,19.26743976,20.2,0.000015625,0.978907364
1772,[414] N1 N2 N5 N3 S3 N6 N4 S2 S1,2,964.1666667,37.6,19.3007731,20.23333333,5.27344E-05,0.978960098
1773,[415] N1 N2 S1 N1 N2 N5 S5 N2 N5 N3 S2,2,964.1666667,37.6,19.3007731,20.23333333,8.23975E-07,0.978960922
1774,[474] N1 N2 N5 N3 S2 N4 S1 N1 N2 S5,1,964.2,37.63333333,19.33410643,20.26666667,8.78906E-06,0.978969711
1775,[475] N1 N2 S1 N4 N6 S3 N3 N5 S7,1,964.2,37.63333333,19.33410643,20.26666667,7.03125E-05,0.979040024
1776,[416] N1 S1 N2 N5 N3 S3 N6 N4 S2,2,964.2333333,37.66666667,19.36743976,20.3,5.27344E-05,0.979092758
1777,[356] N1 N2 S5 N5 N2 S1 N4 N6 S3,3,964.2333333,37.66666667,19.36743976,20.3,0.000210938,0.979303696
1778,[476] N1 N2 S1 N1 N2 S1 N1 N2 N5 N3 S7,1,964.2666667,37.7,19.4007731,20.33333333,1.09863E-06,0.979304794
1779,[477] N1 N2 S5 N5 N3 S3 N6 N4 S2,1,964.3,37.73333333,19.43410643,20.36666667,3.51563E-05,0.979339951
1780,[478] N1 N2 S5 N5 S7 N3 N5 N2 N1 S1,1,964.3,37.73333333,19.43410643,20.36666667,8.78906E-06,0.97934874
1781,[479] N1 N2 N5 N3 S3 N6 N4 S8 N1 S4,1,964.3,37.73333333,19.43410643,20.36666667,7.03125E-05,0.979419052
1782,[417] N1 N2 N5 N3 S3 S2 N3 N5 S7,2,964.3,37.73333333,19.43410643,20.36666667,2.63672E-05,0.979445419
1783,[418] N1 N2 N5 S5 N2 N5 N3 S3 S2,2,964.3,37.73333333,19.43410643,20.36666667,1.31836E-05,0.979458603
1784,[480] N1 N2 N5 N3 S7 N5 S5 N2 N1 S1,1,964.3333333,37.76666667,19.46743976,20.4,8.78906E-06,0.979467392
1785,[357] N1 N2 N5 S5 N2 S1 N4 N6 S3,3,964.3333333,37.76666667,19.46743976,20.4,5.27344E-05,0.979520126
1786,[358] N1 N2 N5 N3 S7 N7 S3 S2,3,964.3333333,37.76666667,19.46743976,20.4,0.000421875,0.979942001
1787,[531] N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 S1,0,964.3666667,37.8,19.5007731,20.43333333,1.2207E-07,0.979942123
1788,[481] N1 N2 S1 N1 N2 S1 N1 N2 N5 N3 S3,1,964.3666667,37.8,19.5007731,20.43333333,5.49316E-07,0.979942673
1789,[419] N1 N2 S1 N4 S2 N3 N5 N2 N1 S8,2,964.3666667,37.8,19.5007731,20.43333333,2.63672E-05,0.97996904
1790,[420] N1 N2 N5 N3 S2 S3 N3 N5 S7,2,964.3666667,37.8,19.5007731,20.43333333,1.31836E-05,0.979982224
1791,[421] N1 S1 N2 N5 S7 N3 N5 N2 N1 S1,2,964.3666667,37.8,19.5007731,20.43333333,6.5918E-06,0.979988815
1792,[359] N1 N2 S5 N5 N2 N1 S1 N4 S2,3,964.3666667,37.8,19.5007731,20.43333333,5.27344E-05,0.98004155
1793,[532] N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 S1,0,964.4,37.83333333,19.53410643,20.46666667,4.88281E-07,0.980042038
1794,[533] N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 S1,0,964.4,37.83333333,19.53410643,20.46666667,4.88281E-07,0.980042526
1795,[534] N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 S1,0,964.4,37.83333333,19.53410643,20.46666667,1.2207E-07,0.980042648
1796,[535] N1 N2 S1 N1 N2 N5 N3 S7 N5 N3 S2,0,964.4,37.83333333,19.53410643,20.46666667,2.44141E-07,0.980042892
1797,[482] N1 N2 N5 N3 S2 N4 N6 S3 N3 S2,1,964.4,37.83333333,19.53410643,20.46666667,1.75781E-05,0.980060471
1798,[422] N1 S1 N2 N5 N3 S7 N5 N2 N1 S1,2,964.4,37.83333333,19.53410643,20.46666667,2.63672E-05,0.980086838
1799,[360] N1 N2 N5 S5 N2 N1 S1 N4 S2,3,964.4,37.83333333,19.53410643,20.46666667,1.31836E-05,0.980100021
1800,[361] N1 S8 N4 N6 S3 N3 N5 N2 S1,3,964.4,37.83333333,19.53410643,20.46666667,0.000210938,0.980310959
1801,[483] N1 N2 S5 N5 N3 S7 N5 N2 N1 S1,1,964.4333333,37.86666667,19.56743976,20.5,1.75781E-05,0.980328537
1802,[423] N1 N2 N5 N3 S7 N5 N3 S2 S3,2,964.4333333,37.86666667,19.56743976,20.5,2.63672E-05,0.980354904
1803,[484] N1 N2 N5 S7 N3 N5 S5 N2 N1 S1,1,964.4666667,37.9,19.6007731,20.53333333,2.19727E-06,0.980357101
1804,[424] N1 N2 N5 N3 S2 N4 S1 N2 N1 S8,2,964.4666667,37.9,19.6007731,20.53333333,6.5918E-06,0.980363693
1805,[485] N1 N2 N5 S5 S4 N1 N2 N5 N3 S7,1,964.5,37.93333333,19.63410643,20.56666667,3.51563E-05,0.980398849
1806,[425] N1 N2 S5 N5 N2 S1 N1 N2 N5 N3 S2,2,964.5333333,37.96666667,19.66743976,20.6,3.2959E-06,0.980402145
1807,[362] N1 N2 S5 N5 N2 S5 N5 N2 N1 S4,3,964.5333333,37.96666667,19.66743976,20.6,2.63672E-05,0.980428513
1808,[536] N1 N2 N5 N3 S7 N5 N3 S3 S2,0,964.5666667,38,19.7007731,20.63333333,3.90625E-06,0.980432419
1809,[426] N1 N2 N5 N3 S3 N6 N4 S1 S2,2,964.5666667,38,19.7007731,20.63333333,0.000105469,0.980537888
1810,[363] N1 N2 N5 S5 N2 N5 S5 N2 N1 S4,3,964.5666667,38,19.7007731,20.63333333,3.2959E-06,0.980541183
1811,[486] N1 N2 N5 S5 S4 N1 N2 N5 N3 S3,1,964.6,38.03333333,19.73410643,20.66666667,1.75781E-05,0.980558762
1812,[427] N1 N2 N5 S7 N7 S3 N6 N4 S2,2,964.6,38.03333333,19.73410643,20.66666667,0.000105469,0.98066423
1813,[428] N1 N2 S5 N5 N2 N1 S1 N2 N5 N3 S2,2,964.6,38.03333333,19.73410643,20.66666667,6.5918E-06,0.980670822
1814,[487] N1 N2 N5 N3 S2 N4 S1 N2 N5 S5,1,964.6333333,38.06666667,19.76743976,20.7,2.19727E-06,0.980673019
1815,[429] N1 N2 N5 S5 N2 N1 S1 N2 N5 N3 S2,2,964.6333333,38.06666667,19.76743976,20.7,1.64795E-06,0.980674667
1816,[430] N1 N2 N5 S5 N2 S1 N1 N2 N5 N3 S2,2,964.6333333,38.06666667,19.76743976,20.7,8.23975E-07,0.980675491
1817,[537] N1 N2 N5 S7 N3 S3 N6 N4 S1,0,964.6666667,38.1,19.8007731,20.73333333,0.000015625,0.980691116
1818,[538] N1 N2 N5 N3 S3 N6 N4 S1 N1 S4,0,964.6666667,38.1,19.8007731,20.73333333,0.000015625,0.980706741
1819,[539] N1 S1 N4 N6 S3 N3 N5 N2 N1 S4,0,964.7,38.13333333,19.83410643,20.76666667,0.00003125,0.980737991
1820,[488] N1 N2 N5 S5 N2 N5 S5 N2 N5 N3 S2,1,964.7,38.13333333,19.83410643,20.76666667,5.49316E-07,0.980738541
1821,[364] N1 N2 N5 N3 S2 S1 N1 N2 N5 N3 S2,3,964.7333333,38.16666667,19.86743976,20.8,1.64795E-06,0.980740189
1822,[489] N1 N2 S1 N1 N2 N5 N3 S3 N7 S7,1,964.8,38.23333333,19.93410643,20.86666667,1.75781E-05,0.980757767
1823,[365] N1 N2 N5 N3 S2 N4 S8 N1 N2 S1,3,964.8,38.23333333,19.93410643,20.86666667,6.5918E-06,0.980764359
1824,[540] N1 N2 S1 N1 N2 N5 S5 N2 N5 N3 S7,0,964.8333333,38.26666667,19.96743976,20.9,2.44141E-07,0.980764603
1825,[490] N1 N2 S5 N5 S7 N3 N5 N2 N1 S4,1,964.8333333,38.26666667,19.96743976,20.9,1.75781E-05,0.980782181
1826,[366] N1 N2 S1 N4 S2 N3 N5 N2 S5,3,964.8333333,38.26666667,19.96743976,20.9,2.63672E-05,0.980808548
1827,[491] N1 N2 S1 N1 N2 N5 N3 S7 N7 S3,1,964.8666667,38.3,20.0007731,20.93333333,1.75781E-05,0.980826126
1828,[492] N1 N2 N5 N3 S7 N5 S5 N2 N1 S4,1,964.8666667,38.3,20.0007731,20.93333333,1.75781E-05,0.980843704
1829,[431] N1 N2 N5 S7 N3 N5 N2 S1 N1 S4,2,964.8666667,38.3,20.0007731,20.93333333,6.5918E-06,0.980850296
1830,[432] N1 N2 N5 N3 S7 N5 N2 S1 N1 S4,2,964.9,38.33333333,20.03410643,20.96666667,2.63672E-05,0.980876663
1831,[541] N1 N2 S1 N1 N2 N5 S5 N2 N5 N3 S3,0,964.9333333,38.36666667,20.06743976,21,1.2207E-07,0.980876785
1832,[433] N1 N2 N5 S7 N3 N5 S7 N3 S2,2,964.9333333,38.36666667,20.06743976,21,6.5918E-06,0.980883377
1833,[434] N1 N2 N5 S7 N3 N5 N2 S5 S6,2,964.9333333,38.36666667,20.06743976,21,1.31836E-05,0.980896561
1834,[435] N1 S1 N2 N5 N3 S7 N5 N2 N1 S4,2,964.9333333,38.36666667,20.06743976,21,5.27344E-05,0.980949295
1835,[436] N1 S1 N2 N5 S7 N3 N5 N2 N1 S4,2,964.9333333,38.36666667,20.06743976,21,1.31836E-05,0.980962479
1836,[367] N1 N2 S1 N1 N2 N5 S7 N3 S3,3,964.9333333,38.36666667,20.06743976,21,6.5918E-06,0.98096907
1837,[437] N1 N2 N5 N3 S7 N5 N2 S5 S6,2,964.9666667,38.4,20.1007731,21.03333333,5.27344E-05,0.981021805
1838,[368] N1 N2 N5 N3 S2 S3 N6 N4 S2,3,964.9666667,38.4,20.1007731,21.03333333,2.63672E-05,0.981048172
1839,[493] N1 N2 N5 S7 N3 N5 S5 N2 N1 S4,1,965,38.43333333,20.13410643,21.06666667,4.39453E-06,0.981052567
1840,[494] N1 N2 S5 N5 N3 S7 N5 N2 N1 S4,1,965,38.43333333,20.13410643,21.06666667,3.51563E-05,0.981087723
1841,[369] N1 N2 N5 N3 S2 N4 N6 S3 S2,3,965,38.43333333,20.13410643,21.06666667,5.27344E-05,0.981140457
1842,[542] N1 N2 N5 S7 N7 S3 N3 N5 N2 S1,0,965.0666667,38.5,20.2007731,21.13333333,1.95313E-06,0.98114241
1843,[543] N1 N2 N5 N3 S3 N7 S7 N5 N3 S2,0,965.0666667,38.5,20.2007731,21.13333333,3.90625E-06,0.981146317
1844,[438] N1 S8 N4 N6 S3 N3 N5 N2 N1 S8,2,965.0666667,38.5,20.2007731,21.13333333,0.000210938,0.981357254
1845,[370] N1 N2 S5 S4 N1 N2 N5 N3 S7,3,965.0666667,38.5,20.2007731,21.13333333,0.000210938,0.981568192
1846,[544] N1 N2 N5 N3 S3 N7 S7 N5 N2 S1,0,965.1,38.53333333,20.23410643,21.16666667,7.8125E-06,0.981576004
1847,[439] N1 N2 N5 N3 S3 S2 N4 S1,2,965.1,38.53333333,20.23410643,21.16666667,5.27344E-05,0.981628738
1848,[440] N1 S1 N4 N6 S3 N3 N5 N2 S1,2,965.1,38.53333333,20.23410643,21.16666667,0.000210938,0.981839676
1849,[441] N1 N2 S1 N1 N2 N5 N3 S7 N5 S5,2,965.1,38.53333333,20.23410643,21.16666667,6.5918E-06,0.981846268
1850,[495] N1 N2 N5 S7 N3 N5 N2 N1 S4 S5,1,965.1333333,38.56666667,20.26743976,21.2,3.51563E-05,0.981881424
1851,[442] N1 N2 S1 N1 N2 N5 N3 S2 N4 S1,2,965.1333333,38.56666667,20.26743976,21.2,3.2959E-06,0.98188472
1852,[443] N1 S1 N2 N5 N3 S3 N6 N4 S1,2,965.1333333,38.56666667,20.26743976,21.2,0.000105469,0.981990189
1853,[371] N1 N2 S1 N4 S8 N1 N2 N5 N3 S2,3,965.1333333,38.56666667,20.26743976,21.2,1.31836E-05,0.982003372
1854,[496] N1 N2 N5 N3 S7 N5 N2 N1 S4 S5,1,965.1666667,38.6,20.3007731,21.23333333,0.000140625,0.982143997
1855,[444] N1 N2 N5 N3 S2 N4 S1 N1 N2 S1,2,965.1666667,38.6,20.3007731,21.23333333,6.5918E-06,0.982150589
1856,[372] N1 N2 S5 S4 N1 N2 N5 N3 S3,3,965.1666667,38.6,20.3007731,21.23333333,0.000105469,0.982256058
1857,[497] N1 N2 S5 N5 N3 S3 N6 N4 S1,1,965.2,38.63333333,20.33410643,21.26666667,7.03125E-05,0.98232637
1858,[373] N1 N2 N5 S5 N2 N5 N3 S7 S6,3,965.2,38.63333333,20.33410643,21.26666667,2.63672E-05,0.982352737
1859,[545] N1 N2 S5 N5 N2 S1 N1 N2 N5 N3 S7,0,965.2333333,38.66666667,20.36743976,21.3,9.76563E-07,0.982353714
1860,[498] N1 N2 N5 S7 N3 S3 N6 N4 S8,1,965.2333333,38.66666667,20.36743976,21.3,3.51563E-05,0.98238887
1861,[374] N1 N2 S5 N5 N2 N1 S8 N4 N6 S3,3,965.2333333,38.66666667,20.36743976,21.3,0.000210938,0.982599808
1862,[375] N1 S8 N4 S1 N1 N2 N5 N3 S7,3,965.2333333,38.66666667,20.36743976,21.3,0.000105469,0.982705276
1863,[445] N1 N2 S1 N4 S2 N3 N5 N2 N1 S1,2,965.2666667,38.7,20.4007731,21.33333333,2.63672E-05,0.982731644
1864,[446] N1 N2 S1 N1 N2 N5 S7 N3 N5 S5,2,965.2666667,38.7,20.4007731,21.33333333,1.64795E-06,0.982733292
1865,[376] N1 N2 S5 N5 S7 N3 N5 N2 S1,3,965.2666667,38.7,20.4007731,21.33333333,1.31836E-05,0.982746475
1866,[377] N1 N2 N5 S5 N2 N1 S8 N4 N6 S3,3,965.2666667,38.7,20.4007731,21.33333333,5.27344E-05,0.98279921
1867,[546] N1 N2 S5 N5 N2 N1 S1 N2 N5 N3 S7,0,965.3,38.73333333,20.43410643,21.36666667,1.95313E-06,0.982801163
1868,[547] N1 N2 S1 N4 N6 S3 N3 N5 N2 S1,0,965.3333333,38.76666667,20.46743976,21.4,7.8125E-06,0.982808975
1869,[548] N1 N2 N5 S5 N2 N1 S1 N2 N5 N3 S7,0,965.3333333,38.76666667,20.46743976,21.4,4.88281E-07,0.982809464
1870,[549] N1 N2 N5 S5 N2 S1 N1 N2 N5 N3 S7,0,965.3333333,38.76666667,20.46743976,21.4,2.44141E-07,0.982809708
1871,[550] N1 N2 S5 N5 N2 S1 N1 N2 N5 N3 S3,0,965.3333333,38.76666667,20.46743976,21.4,4.88281E-07,0.982810196
1872,[499] N1 N2 N5 N3 S2 N4 S1 N2 N5 S7,1,965.3333333,38.76666667,20.46743976,21.4,2.19727E-06,0.982812393
1873,[447] N1 N2 N5 N3 S2 N4 S1 N2 N1 S1,2,965.3333333,38.76666667,20.46743976,21.4,6.5918E-06,0.982818985
1874,[378] N1 N2 N5 S7 N3 S3 N7 S7,3,965.3333333,38.76666667,20.46743976,21.4,0.000210938,0.983029922
1875,[379] N1 S8 N4 S1 N1 N2 N5 N3 S3,3,965.3333333,38.76666667,20.46743976,21.4,5.27344E-05,0.983082657
1876,[380] N1 N2 N5 N3 S7 N5 S5 N2 S1,3,965.3666667,38.8,20.5007731,21.43333333,1.31836E-05,0.98309584
1877,[381] N1 N2 N5 S5 N2 N5 S5 N2 N5 S5,3,965.3666667,38.8,20.5007731,21.43333333,8.23975E-07,0.983096664
1878,[551] N1 N2 S5 N5 N2 N1 S1 N2 N5 N3 S3,0,965.4,38.83333333,20.53410643,21.46666667,9.76563E-07,0.983097641
1879,[552] N1 N2 N5 S5 N2 N5 N3 S3 N7 S7,0,965.4,38.83333333,20.53410643,21.46666667,3.90625E-06,0.983101547
1880,[382] N1 N2 N5 N3 S2 N4 S1 N2 S5,3,965.4,38.83333333,20.53410643,21.46666667,6.5918E-06,0.983108139
1881,[383] N1 N2 S5 N5 N3 S7 N5 N3 S2,3,965.4,38.83333333,20.53410643,21.46666667,1.31836E-05,0.983121323
1882,[553] N1 N2 N5 S5 N2 N1 S1 N2 N5 N3 S3,0,965.4333333,38.86666667,20.56743976,21.5,2.44141E-07,0.983121567
1883,[554] N1 N2 N5 S5 N2 S1 N1 N2 N5 N3 S3,0,965.4333333,38.86666667,20.56743976,21.5,1.2207E-07,0.983121689
1884,[555] N1 N2 N5 S5 N2 N5 N3 S7 N7 S3,0,965.4333333,38.86666667,20.56743976,21.5,3.90625E-06,0.983125595
1885,[500] N1 N2 N5 N3 S3 S2 N4 N6 S3,1,965.4333333,38.86666667,20.56743976,21.5,7.03125E-05,0.983195908
1886,[501] N1 N2 N5 N3 S2 S1 N1 N2 N5 N3 S7,1,965.4333333,38.86666667,20.56743976,21.5,4.39453E-06,0.983200302
1887,[384] N1 N2 S5 N5 N3 S7 N5 N2 S1,3,965.4333333,38.86666667,20.56743976,21.5,2.63672E-05,0.983226669
1888,[502] N1 N2 N5 N3 S3 S2 N3 N5 N2 S1,1,965.4666667,38.9,20.6007731,21.53333333,8.78906E-06,0.983235458
1889,[503] N1 N2 S1 N1 N2 N5 N3 S2 N4 N6 S3,1,965.4666667,38.9,20.6007731,21.53333333,4.39453E-06,0.983239853
1890,[504] N1 N2 N5 N3 S7 N5 N3 S7 S6,1,965.4666667,38.9,20.6007731,21.53333333,7.03125E-05,0.983310165
1891,[385] N1 N2 N5 S7 N7 S3 N3 S7,3,965.4666667,38.9,20.6007731,21.53333333,0.000105469,0.983415634
1892,[386] N1 N2 N5 S7 N3 N5 S5 N2 S1,3,965.4666667,38.9,20.6007731,21.53333333,3.2959E-06,0.98341893
1893,[556] N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 S5,0,965.5,38.93333333,20.63410643,21.56666667,4.88281E-07,0.983419418
1894,[557] N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 S5,0,965.5,38.93333333,20.63410643,21.56666667,1.2207E-07,0.98341954
1895,[448] N1 N2 N5 S7 N7 S3 N6 N4 S1,2,965.5,38.93333333,20.63410643,21.56666667,0.000210938,0.983630478
1896,[449] N1 N2 N5 S5 N2 N5 S7 N3 S3,2,965.5,38.93333333,20.63410643,21.56666667,1.31836E-05,0.983643661
1897,[505] N1 N2 N5 N3 S2 S3 N3 N5 N2 S1,1,965.5333333,38.96666667,20.66743976,21.6,4.39453E-06,0.983648056
1898,[506] N1 N2 N5 N3 S2 S1 N1 N2 N5 N3 S3,1,965.5333333,38.96666667,20.66743976,21.6,2.19727E-06,0.983650253
1899,[507] N1 N2 N5 N3 S3 N6 N4 S1 N1 S8,1,965.5333333,38.96666667,20.66743976,21.6,3.51563E-05,0.98368541
1900,[387] N1 S8 N4 N6 S3 N3 N5 N2 S5,3,965.5333333,38.96666667,20.66743976,21.6,0.000210938,0.983896347
1901,[508] N1 N2 N5 N3 S3 N6 N4 S2 S3,1,965.5666667,39,20.7007731,21.63333333,3.51563E-05,0.983931503
1902,[509] N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 S5,1,965.6,39.03333333,20.73410643,21.66666667,2.19727E-06,0.983933701
1903,[450] N1 N2 S5 N5 N2 N1 S1 N4 N6 S3,2,965.6,39.03333333,20.73410643,21.66666667,0.000210938,0.984144638
1904,[388] N1 S1 N4 S8 N1 N2 N5 N3 S7,3,965.6,39.03333333,20.73410643,21.66666667,0.000105469,0.984250107
1905,[451] N1 N2 N5 S5 N2 N1 S1 N4 N6 S3,2,965.6333333,39.06666667,20.76743976,21.7,5.27344E-05,0.984302841
1906,[510] N1 N2 N5 N3 S7 N5 S5 N2 N5 S5,1,965.6666667,39.1,20.8007731,21.73333333,4.39453E-06,0.984307236
1907,[511] N1 N2 N5 S5 N2 N5 N3 S7 N5 S5,1,965.6666667,39.1,20.8007731,21.73333333,4.39453E-06,0.98431163
1908,[389] N1 N2 S1 N1 N2 N5 N3 S2 N4 S8,3,965.6666667,39.1,20.8007731,21.73333333,1.64795E-06,0.984313278
1909,[390] N1 N2 N5 N3 S3 S2 N4 S8,3,965.6666667,39.1,20.8007731,21.73333333,2.63672E-05,0.984339645
1910,[558] N1 N2 N5 S7 N3 N5 S7 N3 S3,0,965.7,39.13333333,20.83410643,21.76666667,1.95313E-06,0.984341599
1911,[512] N1 N2 N5 S5 N2 N5 N3 S2 N4 S1,1,965.7,39.13333333,20.83410643,21.76666667,2.19727E-06,0.984343796
1912,[391] N1 S1 N2 N5 N3 S3 N6 N4 S8,3,965.7,39.13333333,20.83410643,21.76666667,2.63672E-05,0.984370163
1913,[392] N1 S1 N4 S8 N1 N2 N5 N3 S3,3,965.7,39.13333333,20.83410643,21.76666667,5.27344E-05,0.984422897
1914,[452] N1 N2 S1 N1 N2 N5 S7 N3 N5 S7,2,965.7333333,39.16666667,20.86743976,21.8,1.64795E-06,0.984424545
1915,[513] N1 S1 N4 N6 S3 N3 N5 N2 N1 S8,1,965.7666667,39.2,20.9007731,21.83333333,7.03125E-05,0.984494858
1916,[453] N1 N2 S5 N5 N3 S3 N6 N4 S8,2,965.7666667,39.2,20.9007731,21.83333333,5.27344E-05,0.984547592
1917,[393] N1 N2 S1 N4 N6 S3 N3 S7,3,965.7666667,39.2,20.9007731,21.83333333,0.000421875,0.984969467
1918,[394] N1 N2 N5 S7 N3 N5 N2 S1 N1 S8,3,965.7666667,39.2,20.9007731,21.83333333,1.64795E-06,0.984971115
1919,[514] N1 N2 N5 S7 N3 N5 S5 N2 N5 S5,1,965.8,39.23333333,20.93410643,21.86666667,1.09863E-06,0.984972214
1920,[454] N1 N2 S1 N4 S2 N3 N5 N2 N1 S4,2,965.8,39.23333333,20.93410643,21.86666667,5.27344E-05,0.985024948
1921,[455] N1 N2 N5 N3 S3 N7 S7 N5 S5,2,965.8,39.23333333,20.93410643,21.86666667,0.000105469,0.985130417
1922,[515] N1 N2 N5 S5 N2 N5 S7 N3 N5 S5,1,965.8333333,39.26666667,20.96743976,21.9,1.09863E-06,0.985131516
1923,[516] N1 N2 S1 N4 S8 N1 N2 N5 N3 S7,1,965.8333333,39.26666667,20.96743976,21.9,3.51563E-05,0.985166672
1924,[395] N1 N2 N5 N3 S2 S3 N6 N4 S1,3,965.8666667,39.3,21.0007731,21.93333333,5.27344E-05,0.985219406
1925,[396] N1 N2 S5 N5 N2 S5 N5 N3 S7,3,965.8666667,39.3,21.0007731,21.93333333,2.63672E-05,0.985245773
1926,[559] N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 S5,0,965.9,39.33333333,21.03410643,21.96666667,2.44141E-07,0.985246017
