#,Pattern,,Time (msec),,,,,Cumulative
,,,Absolute,vs. best,vs. mean,vs. median,,
109,[33] N1 S1 N4 S8 N1 S1,1,939.4333333,12.86666667,-5.432560237,-4.5,0.00225,0.255820313
110,[8] N1 S8 N4 S2 S1,3,939.5,12.93333333,-5.365893571,-4.433333333,0.003375,0.259195313
111,[34] N1 S1 N2 N5 S5 S6,1,939.5333333,12.96666667,-5.332560237,-4.4,0.00028125,0.259476563
112,[55] N1 S8 N4 S1 N2 S5,0,939.6666667,13.1,-5.199226904,-4.266666667,0.00025,0.259726563
113,[35] N1 S4 S5 N5 N2 S1,1,939.6666667,13.1,-5.199226904,-4.266666667,0.0045,0.264226563
114,[9] N1 S8 N4 S1 S2,3,939.8,13.23333333,-5.065893571,-4.133333333,0.003375,0.267601563
115,[56] N1 N2 N5 S7 S6 S5,0,939.8333333,13.26666667,-5.032560237,-4.1,0.0005,0.268101563
116,[57] N1 N2 S1 N1 N2 S1 N1 S8,0,939.8333333,13.26666667,-5.032560237,-4.1,3.90625E-06,0.268105469
117,[36] N1 S4 S5 N5 N3 S2,1,939.8666667,13.3,-4.999226904,-4.066666667,0.00225,0.270355469
118,[37] N1 S4 S5 N2 N1 S4,1,939.8666667,13.3,-4.999226904,-4.066666667,0.0045,0.274855469
119,[38] N1 S8 N4 S1 N1 S4,1,939.9,13.33333333,-4.965893571,-4.033333333,0.0045,0.279355469
120,[16] N1 N2 S5 S6 S7,2,939.9333333,13.36666667,-4.932560237,-4,0.0135,0.292855469
121,[58] N1 N2 S5 N5 N2 S1 S2,0,940,13.43333333,-4.865893571,-3.933333333,0.0000625,0.292917969
122,[59] N1 N2 N5 S5 N2 S1 S2,0,940.1,13.53333333,-4.765893571,-3.833333333,0.000015625,0.292933594
123,[60] N1 S1 N2 N1 S1 N2 N1 S8,0,940.1,13.53333333,-4.765893571,-3.833333333,0.000015625,0.292949219
124,[17] N1 N2 S1 N1 S4 S5,2,940.1333333,13.56666667,-4.732560237,-3.8,0.003375,0.296324219
125,[18] N1 S1 N2 N1 S4 S5,2,940.1333333,13.56666667,-4.732560237,-3.8,0.00675,0.303074219
126,[19] N1 S1 N4 S2 S1,2,940.2,13.63333333,-4.665893571,-3.733333333,0.003375,0.306449219
127,[39] N1 S1 N4 S8 N1 S4,1,940.2333333,13.66666667,-4.632560237,-3.7,0.0045,0.310949219
128,[61] N1 N2 N5 S5 S4 N1 S8,0,940.2666667,13.7,-4.599226904,-3.666666667,0.000125,0.311074219
