#,Pattern,,Time (seconds),,,,Probability,Cumulative probability,Node map
,,,Absolute,vs. best,vs. mean,vs. median,,,
1490,[405] N1 S8 N4 N6 S3 N3 N5 N2 S5,1,59.323,34.916,16.073,17.084,0.000281 ,0.962419 ,
1491,[462] N1 N2 S1 N1 N2 N5 S7 N3 N5 S7,0,59.336,34.929,16.086,17.097,0.000000 ,0.962419 ,
1492,[406] N1 N2 N5 N3 S2 S1 N2 N5 N3 S3,1,59.338,34.931,16.088,17.099,0.000009 ,0.962428 ,
1493,[279] N1 N2 S1 N1 N2 S1 N4 N6 S3,3,59.35,34.943,16.1,17.111,0.000053 ,0.962481 ,
1494,[463] N1 S1 N2 N5 N3 S7 N5 N3 S7,0,59.353,34.946,16.103,17.114,0.000008 ,0.962489 ,
1495,[464] N1 N2 N5 N3 S2 N4 N6 S3 N3 S2,0,59.359,34.952,16.109,17.12,0.000004 ,0.962493 ,
1496,[407] N1 N2 S5 N5 N2 S5 N5 N3 S7,1,59.361,34.954,16.111,17.122,0.000035 ,0.962528 ,
1497,[280] N1 S8 N4 N6 S3 N3 N5 S7,3,59.368,34.961,16.118,17.129,0.000422 ,0.962950 ,
1498,[465] N1 S1 N2 N5 N3 S7 N5 N3 S3,0,59.37,34.963,16.12,17.131,0.000004 ,0.962954 ,
1499,[408] N1 N2 S5 N5 N2 S5 N5 N3 S3,1,59.378,34.971,16.128,17.139,0.000018 ,0.962971 ,
1500,[466] N1 N2 N5 N3 S7 N5 S5 N2 N1 S8,0,59.389,34.982,16.139,17.15,0.000002 ,0.962979 ,
1500,[466] N1 N2 N5 S7 N3 N5 S5 N2 N1 S8,0,59.389,34.982,16.139,17.15,0.000000 ,0.962979 ,
1500,[466] N1 N2 S5 N5 N3 S7 N5 N2 N1 S8,0,59.389,34.982,16.139,17.15,0.000004 ,0.962979 ,
1500,[466] N1 N2 S5 N5 S7 N3 N5 N2 N1 S8,0,59.389,34.982,16.139,17.15,0.000002 ,0.962979 ,
1504,[281] N1 N2 S5 N5 N3 S7 N5 S5,3,59.406,34.999,16.156,17.167,0.000053 ,0.963059 ,
1504,[281] N1 N2 S5 N5 S7 N3 N5 S5,3,59.406,34.999,16.156,17.167,0.000026 ,0.963059 ,
1506,[283] N1 N2 N5 S7 N3 N5 S7 S6,3,59.409,35.002,16.159,17.17,0.000026 ,0.963085 ,
1507,[347] N1 N2 S5 N5 N3 S7 N7 S3,2,59.419,35.012,16.169,17.18,0.000422 ,0.963507 ,
1508,[470] N1 N2 N5 N3 S2 N4 S1 N1 N2 S5,0,59.459,35.052,16.209,17.22,0.000002 ,0.963509 ,
1509,[409] N1 N2 N5 S5 N2 N5 S5 N2 N5 S7,1,59.478,35.071,16.228,17.239,0.000001 ,0.963510 ,
1510,[284] N1 N2 N5 S5 N2 N5 N3 S2 S3,3,59.503,35.096,16.253,17.264,0.000007 ,0.963516 ,
1511,[410] N1 N2 N5 N3 S2 N4 S1 N2 N1 S8,1,59.522,35.115,16.272,17.283,0.000004 ,0.963538 ,
1511,[410] N1 N2 S1 N4 S2 N3 N5 N2 N1 S8,1,59.522,35.115,16.272,17.283,0.000018 ,0.963538 ,
1513,[471] N1 S1 N4 N6 S3 N3 N5 N2 S5,0,59.526,35.119,16.276,17.287,0.000031 ,0.963570 ,
1514,[348] N1 N2 N5 S5 N2 N5 S7 N7 S3,2,59.536,35.129,16.286,17.297,0.000026 ,0.963596 ,
1515,[472] N1 N2 N5 N3 S3 N7 S7 N3 S2,0,59.555,35.148,16.305,17.316,0.000016 ,0.963654 ,
1515,[472] N1 N2 N5 N3 S7 N7 S3 N3 S2,0,59.555,35.148,16.305,17.316,0.000016 ,0.963654 ,
1515,[412] N1 N2 N5 N3 S2 S3 N3 N5 S7,1,59.555,35.148,16.305,17.316,0.000009 ,0.963654 ,
1515,[412] N1 N2 N5 N3 S3 S2 N3 N5 S7,1,59.555,35.148,16.305,17.316,0.000018 ,0.963654 ,
1519,[349] N1 S1 N4 N6 S3 N3 N5 S7,2,59.571,35.164,16.321,17.332,0.000422 ,0.964076 ,
1520,[350] N1 N2 N5 S5 S4 N1 N2 N5 N3 S2,2,59.573,35.166,16.323,17.334,0.000026 ,0.964102 ,
1521,[285] N1 N2 N5 N3 S7 N5 S5 S4,3,59.583,35.176,16.333,17.344,0.000105 ,0.964234 ,
1521,[285] N1 N2 N5 S7 N3 N5 S5 S4,3,59.583,35.176,16.333,17.344,0.000026 ,0.964234 ,
1523,[287] N1 N2 S1 N4 N6 S3 N7 S7,3,59.585,35.178,16.335,17.346,0.001688 ,0.965921 ,
1524,[474] N1 N2 N5 S7 N7 S3 N3 N5 S7,0,59.588,35.181,16.338,17.349,0.000004 ,0.965925 ,
1525,[414] N1 S1 N2 N5 N3 S3 N6 N4 S2,1,59.59,35.183,16.34,17.351,0.000035 ,0.965960 ,
1526,[475] N1 N2 N5 N3 S3 N6 N4 S8 N1 S1,0,59.626,35.219,16.376,17.387,0.000008 ,0.965999 ,
1526,[475] N1 S8 N4 N6 S3 N3 N5 N2 N1 S1,0,59.626,35.219,16.376,17.387,0.000031 ,0.965999 ,
1528,[288] N1 N2 N5 S5 N2 N1 S1 N2 N1 S1,3,59.637,35.23,16.387,17.398,0.000003 ,0.966024 ,
1528,[288] N1 N2 S1 N1 N2 N5 S5 N2 N1 S1,3,59.637,35.23,16.387,17.398,0.000002 ,0.966024 ,
1528,[288] N1 N2 S1 N1 N2 S5 N5 N2 N1 S1,3,59.637,35.23,16.387,17.398,0.000007 ,0.966024 ,
1528,[288] N1 N2 S5 N5 N2 N1 S1 N2 N1 S1,3,59.637,35.23,16.387,17.398,0.000013 ,0.966024 ,
1532,[351] N1 N2 S1 N1 N2 S1 N1 N2 N5 N3 S2,2,59.686,35.279,16.436,17.447,0.000001 ,0.966025 ,
1533,[352] N1 N2 S1 N1 N2 N5 N3 S3 S2,2,59.736,35.329,16.486,17.497,0.000013 ,0.966038 ,
1534,[353] N1 S1 N2 N5 N3 S7 N5 N2 S5,2,59.749,35.342,16.499,17.51,0.000053 ,0.966104 ,
1534,[353] N1 S1 N2 N5 S7 N3 N5 N2 S5,2,59.749,35.342,16.499,17.51,0.000013 ,0.966104 ,
1536,[292] N1 N2 S5 N5 N2 S5 N5 N2 S5,3,59.757,35.35,16.507,17.518,0.000026 ,0.966130 ,
1537,[293] N1 N2 N5 N3 S2 S1 N4 N6 S3,3,59.768,35.361,16.518,17.529,0.000211 ,0.966341 ,
1538,[355] N1 N2 N5 S5 N2 S1 N4 N6 S3,2,59.773,35.366,16.523,17.534,0.000105 ,0.966869 ,
1538,[355] N1 N2 S5 N5 N2 S1 N4 N6 S3,2,59.773,35.366,16.523,17.534,0.000422 ,0.966869 ,
1540,[415] N1 N2 N5 N3 S7 N5 N3 S2 S3,1,59.784,35.377,16.534,17.545,0.000018 ,0.966886 ,
1541,[416] N1 N2 N5 N3 S3 N6 N4 S2 S1,1,59.79,35.383,16.54,17.551,0.000035 ,0.966921 ,
1542,[477] N1 N2 N5 S7 N3 N5 S7 N7 S3,0,59.817,35.41,16.567,17.578,0.000004 ,0.966925 ,
1543,[478] N1 N2 S1 N4 N6 S3 N3 N5 S7,0,59.825,35.418,16.575,17.586,0.000016 ,0.966941 ,
1544,[294] N1 N2 S1 N4 S8 N1 N2 N5 S7,3,59.851,35.444,16.601,17.612,0.000026 ,0.966967 ,
1545,[295] N1 S8 N4 S1 N2 N5 N3 S7,3,59.868,35.461,16.618,17.629,0.000211 ,0.967178 ,
1546,[479] N1 N2 S5 N5 N3 S3 N6 N4 S2,0,59.879,35.472,16.629,17.64,0.000008 ,0.967186 ,
1547,[296] N1 S8 N4 S1 N2 N5 N3 S3,3,59.885,35.478,16.635,17.646,0.000105 ,0.967291 ,
1548,[480] N1 N2 N5 N3 S2 N4 S1 N2 N5 S7,0,59.892,35.485,16.642,17.653,0.000000 ,0.967292 ,
1549,[297] N1 N2 N5 S5 N2 N1 S8 N4 S2,3,59.905,35.498,16.655,17.666,0.000026 ,0.967424 ,
1549,[297] N1 N2 S5 N5 N2 N1 S8 N4 S2,3,59.905,35.498,16.655,17.666,0.000105 ,0.967424 ,
1551,[417] N1 N2 N5 N3 S7 N5 N2 N1 S1 S2,1,59.935,35.528,16.685,17.696,0.000018 ,0.967446 ,
1551,[417] N1 N2 N5 S7 N3 N5 N2 N1 S1 S2,1,59.935,35.528,16.685,17.696,0.000004 ,0.967446 ,
1553,[357] N1 N2 N5 N3 S2 N4 N6 S3 S2,2,60.004,35.597,16.754,17.765,0.000105 ,0.967604 ,
1553,[357] N1 N2 N5 N3 S2 S3 N6 N4 S2,2,60.004,35.597,16.754,17.765,0.000053 ,0.967604 ,
1555,[419] N1 N2 N5 S7 N7 S3 N6 N4 S2,1,60.037,35.63,16.787,17.798,0.000070 ,0.967674 ,
1556,[420] N1 N2 S5 N5 N3 S7 N5 N2 S5,1,60.038,35.631,16.788,17.799,0.000035 ,0.967727 ,
1556,[420] N1 N2 S5 N5 S7 N3 N5 N2 S5,1,60.038,35.631,16.788,17.799,0.000018 ,0.967727 ,
1558,[422] N1 S1 N2 N5 N3 S7 N5 N2 N1 S1,1,60.052,35.645,16.802,17.813,0.000018 ,0.967749 ,
1558,[422] N1 S1 N2 N5 S7 N3 N5 N2 N1 S1,1,60.052,35.645,16.802,17.813,0.000004 ,0.967749 ,
1560,[359] N1 N2 N5 S5 N2 N5 S5 N2 N1 S1,2,60.06,35.653,16.81,17.821,0.000003 ,0.967779 ,
1560,[359] N1 N2 S5 N5 N2 S5 N5 N2 N1 S1,2,60.06,35.653,16.81,17.821,0.000026 ,0.967779 ,
1562,[299] N1 N2 S5 N5 S7 N3 N5 S7,3,60.083,35.676,16.833,17.844,0.000026 ,0.967805 ,
1563,[361] N1 N2 N5 N3 S2 S1 N1 N2 N5 N3 S2,2,60.104,35.697,16.854,17.865,0.000003 ,0.967808 ,
1564,[362] N1 N2 N5 S5 N2 N1 S1 N4 S2,2,60.108,35.701,16.858,17.869,0.000026 ,0.967940 ,
1564,[362] N1 N2 S5 N5 N2 N1 S1 N4 S2,2,60.108,35.701,16.858,17.869,0.000105 ,0.967940 ,
1566,[424] N1 N2 N5 S5 N2 N1 S1 N2 N5 N3 S2,1,60.109,35.702,16.859,17.87,0.000001 ,0.967949 ,
1566,[424] N1 N2 N5 S5 N2 S1 N1 N2 N5 N3 S2,1,60.109,35.702,16.859,17.87,0.000001 ,0.967949 ,
1566,[424] N1 N2 S1 N1 N2 N5 S5 N2 N5 N3 S2,1,60.109,35.702,16.859,17.87,0.000001 ,0.967949 ,
1566,[424] N1 N2 S5 N5 N2 N1 S1 N2 N5 N3 S2,1,60.109,35.702,16.859,17.87,0.000004 ,0.967949 ,
1566,[424] N1 N2 S5 N5 N2 S1 N1 N2 N5 N3 S2,1,60.109,35.702,16.859,17.87,0.000002 ,0.967949 ,
1571,[429] N1 N2 N5 S5 N2 N5 N3 S3 S2,1,60.159,35.752,16.909,17.92,0.000009 ,0.967958 ,
1572,[300] N1 N2 N5 S5 N2 N5 S7 N3 S2,3,60.167,35.76,16.917,17.928,0.000003 ,0.967961 ,
1573,[364] N1 N2 N5 N3 S2 N4 S1 N2 S5,2,60.171,35.764,16.921,17.932,0.000013 ,0.968027 ,
1573,[364] N1 N2 S1 N4 S2 N3 N5 N2 S5,2,60.171,35.764,16.921,17.932,0.000053 ,0.968027 ,
1575,[366] N1 N2 N5 N3 S7 N7 S3 S2,2,60.2,35.793,16.95,17.961,0.000844 ,0.968937 ,
1575,[301] N1 N2 N5 N3 S7 N5 S5 S6,3,60.2,35.793,16.95,17.961,0.000053 ,0.968937 ,
1575,[301] N1 N2 N5 S7 N3 N5 S5 S6,3,60.2,35.793,16.95,17.961,0.000013 ,0.968937 ,
1578,[430] N1 N2 N5 N3 S7 N5 N2 S5 S4,1,60.215,35.808,16.965,17.976,0.000070 ,0.969025 ,
1578,[430] N1 N2 N5 S7 N3 N5 N2 S5 S4,1,60.215,35.808,16.965,17.976,0.000018 ,0.969025 ,
1580,[303] N1 S1 N4 S2 N3 N5 N2 N1 S1,3,60.22,35.813,16.97,17.981,0.000053 ,0.969077 ,
1581,[367] N1 N2 N5 N3 S2 N4 S8 N1 N2 S1,2,60.271,35.864,17.021,18.032,0.000013 ,0.969090 ,
1582,[368] N1 S8 N4 N6 S3 N3 N5 N2 S1,2,60.338,35.931,17.088,18.099,0.000422 ,0.969512 ,
1583,[481] N1 N2 N5 N3 S7 N5 S5 N2 N1 S1,0,60.341,35.934,17.091,18.102,0.000002 ,0.969521 ,
1583,[481] N1 N2 N5 S7 N3 N5 S5 N2 N1 S1,0,60.341,35.934,17.091,18.102,0.000000 ,0.969521 ,
1583,[481] N1 N2 S5 N5 N3 S7 N5 N2 N1 S1,0,60.341,35.934,17.091,18.102,0.000004 ,0.969521 ,
1583,[481] N1 N2 S5 N5 S7 N3 N5 N2 N1 S1,0,60.341,35.934,17.091,18.102,0.000002 ,0.969521 ,
1587,[432] N1 N2 N5 N3 S3 N6 N4 S1 S2,1,60.424,36.017,17.174,18.185,0.000070 ,0.969591 ,
1588,[433] N1 N2 N5 S7 N3 N5 S7 N3 S2,1,60.448,36.041,17.198,18.209,0.000004 ,0.969595 ,
1589,[434] N1 N2 N5 N3 S2 N4 S1 N1 N2 S1,1,60.474,36.067,17.224,18.235,0.000004 ,0.969624 ,
1589,[434] N1 N2 N5 N3 S2 N4 S1 N2 N1 S1,1,60.474,36.067,17.224,18.235,0.000004 ,0.969624 ,
1589,[434] N1 N2 S1 N1 N2 N5 N3 S2 N4 S1,1,60.474,36.067,17.224,18.235,0.000002 ,0.969624 ,
1589,[434] N1 N2 S1 N4 S2 N3 N5 N2 N1 S1,1,60.474,36.067,17.224,18.235,0.000018 ,0.969624 ,
1593,[485] N1 N2 N5 N3 S3 N6 N4 S8 N1 S4,0,60.51,36.103,17.26,18.271,0.000016 ,0.969702 ,
1593,[485] N1 S8 N4 N6 S3 N3 N5 N2 N1 S4,0,60.51,36.103,17.26,18.271,0.000063 ,0.969702 ,
1595,[304] N1 N2 N5 S5 N2 N1 S1 N2 N1 S4,3,60.521,36.114,17.271,18.282,0.000007 ,0.969751 ,
1595,[304] N1 N2 S1 N1 N2 N5 S5 N2 N1 S4,3,60.521,36.114,17.271,18.282,0.000003 ,0.969751 ,
1595,[304] N1 N2 S1 N1 N2 S5 N5 N2 N1 S4,3,60.521,36.114,17.271,18.282,0.000013 ,0.969751 ,
1595,[304] N1 N2 S5 N5 N2 N1 S1 N2 N1 S4,3,60.521,36.114,17.271,18.282,0.000026 ,0.969751 ,
1599,[438] N1 N2 N5 N3 S3 S2 N4 S1,1,60.524,36.117,17.274,18.285,0.000035 ,0.969787 ,
1600,[487] N1 N2 N5 N3 S2 S3 N3 N5 N2 S1,0,60.525,36.118,17.275,18.286,0.000001 ,0.969790 ,
1600,[487] N1 N2 N5 N3 S3 S2 N3 N5 N2 S1,0,60.525,36.118,17.275,18.286,0.000002 ,0.969790 ,
1602,[489] N1 N2 N5 S5 N2 N5 S5 N2 N5 N3 S2,0,60.532,36.125,17.282,18.293,0.000000 ,0.969803 ,
1602,[308] N1 N2 N5 S7 N3 S2 N4 S1,3,60.532,36.125,17.282,18.293,0.000013 ,0.969803 ,
1604,[439] N1 S1 N2 N5 N3 S3 N6 N4 S1,1,60.541,36.134,17.291,18.302,0.000070 ,0.970014 ,
1604,[439] N1 S1 N4 N6 S3 N3 N5 N2 S1,1,60.541,36.134,17.291,18.302,0.000141 ,0.970014 ,
1606,[490] N1 N2 N5 S5 S4 N1 N2 N5 N3 S7,0,60.578,36.171,17.328,18.339,0.000008 ,0.970022 ,
1607,[491] N1 N2 N5 S5 S4 N1 N2 N5 N3 S3,0,60.595,36.188,17.345,18.356,0.000004 ,0.970025 ,
1608,[309] N1 N2 N5 N3 S7 N5 N2 S1 S2,3,60.647,36.24,17.397,18.408,0.000026 ,0.970058 ,
1608,[309] N1 N2 N5 S7 N3 N5 N2 S1 S2,3,60.647,36.24,17.397,18.408,0.000007 ,0.970058 ,
1610,[492] N1 N2 S1 N1 N2 S1 N1 N2 N5 N3 S7,0,60.691,36.284,17.441,18.452,0.000000 ,0.970059 ,
1611,[493] N1 N2 S1 N1 N2 S1 N1 N2 N5 N3 S3,0,60.708,36.301,17.458,18.469,0.000000 ,0.970059 ,
1612,[311] N1 N2 S1 N1 N2 N5 N3 S7 S6,3,60.764,36.357,17.514,18.525,0.000026 ,0.970118 ,
1612,[311] N1 S1 N2 N5 N3 S7 N5 N2 S1,3,60.764,36.357,17.514,18.525,0.000026 ,0.970118 ,
1612,[311] N1 S1 N2 N5 S7 N3 N5 N2 S1,3,60.764,36.357,17.514,18.525,0.000007 ,0.970118 ,
1615,[369] N1 N2 S1 N1 N2 N5 S7 N3 S3,2,60.766,36.359,17.516,18.527,0.000013 ,0.970131 ,
1616,[494] N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 S5,0,60.8,36.393,17.55,18.561,0.000000 ,0.970132 ,
1617,[495] N1 N2 S5 N5 N3 S3 N6 N4 S1,0,60.83,36.423,17.58,18.591,0.000016 ,0.970147 ,
1618,[441] N1 N2 N5 N3 S7 N5 N2 S5 S6,1,60.832,36.425,17.582,18.593,0.000035 ,0.970191 ,
1618,[441] N1 N2 N5 S7 N3 N5 N2 S5 S6,1,60.832,36.425,17.582,18.593,0.000009 ,0.970191 ,
1620,[314] N1 S1 N2 N5 N3 S7 N5 N3 S2,3,60.848,36.441,17.598,18.609,0.000013 ,0.970205 ,
1621,[496] N1 N2 N5 S7 N3 S3 N6 N4 S8,0,60.856,36.449,17.606,18.617,0.000008 ,0.970344 ,
1621,[315] N1 N2 N5 S5 N2 N1 S8 N4 S1,3,60.856,36.449,17.606,18.617,0.000026 ,0.970344 ,
1621,[315] N1 N2 S5 N5 N2 N1 S8 N4 S1,3,60.856,36.449,17.606,18.617,0.000105 ,0.970344 ,
1624,[317] N1 N2 N5 S5 N2 N1 S1 N2 N5 S5,3,60.878,36.471,17.628,18.639,0.000002 ,0.970357 ,
1624,[317] N1 N2 N5 S5 N2 S1 N1 N2 N5 S5,3,60.878,36.471,17.628,18.639,0.000001 ,0.970357 ,
1624,[317] N1 N2 S1 N1 N2 N5 S5 N2 N5 S5,3,60.878,36.471,17.628,18.639,0.000001 ,0.970357 ,
1624,[317] N1 N2 S5 N5 N2 N1 S1 N2 N5 S5,3,60.878,36.471,17.628,18.639,0.000007 ,0.970357 ,
1624,[317] N1 N2 S5 N5 N2 S1 N1 N2 N5 S5,3,60.878,36.471,17.628,18.639,0.000003 ,0.970357 ,
1629,[497] N1 N2 N5 S5 N2 N5 N3 S2 N4 S1,0,60.897,36.49,17.647,18.658,0.000000 ,0.970358 ,
1630,[370] N1 N2 S1 N4 S8 N1 N2 N5 N3 S2,2,60.905,36.498,17.655,18.666,0.000026 ,0.970384 ,
1631,[443] N1 N2 N5 N3 S7 N5 N2 S1 N1 S4,1,60.936,36.529,17.686,18.697,0.000018 ,0.970450 ,
1631,[443] N1 N2 N5 S7 N3 N5 N2 S1 N1 S4,1,60.936,36.529,17.686,18.697,0.000004 ,0.970450 ,
1631,[443] N1 S1 N2 N5 N3 S7 N5 N2 N1 S4,1,60.936,36.529,17.686,18.697,0.000035 ,0.970450 ,
1631,[443] N1 S1 N2 N5 S7 N3 N5 N2 N1 S4,1,60.936,36.529,17.686,18.697,0.000009 ,0.970450 ,
1635,[498] N1 N2 S1 N1 N2 N5 N3 S3 N7 S7,0,60.943,36.536,17.693,18.704,0.000004 ,0.970454 ,
1636,[371] N1 N2 N5 S5 N2 N5 S5 N2 N1 S4,2,60.944,36.537,17.694,18.705,0.000007 ,0.970513 ,
1636,[371] N1 N2 S5 N5 N2 S5 N5 N2 N1 S4,2,60.944,36.537,17.694,18.705,0.000053 ,0.970513 ,
1638,[373] N1 N2 N5 N3 S2 S3 N6 N4 S1,2,60.955,36.548,17.705,18.716,0.000105 ,0.970619 ,
1639,[322] N1 N2 N5 N3 S2 S3 N3 S7,3,60.968,36.561,17.718,18.729,0.000053 ,0.970777 ,
1639,[322] N1 N2 N5 N3 S3 S2 N3 S7,3,60.968,36.561,17.718,18.729,0.000105 ,0.970777 ,
1641,[499] N1 N2 S1 N1 N2 N5 N3 S2 N4 N6 S3,0,60.976,36.569,17.726,18.737,0.000001 ,0.970778 ,
1642,[324] N1 N2 N5 N3 S3 S2 N3 S3,3,60.985,36.578,17.735,18.746,0.000053 ,0.970831 ,
1643,[447] N1 N2 N5 S7 N7 S3 N6 N4 S1,1,60.988,36.581,17.738,18.749,0.000141 ,0.970971 ,
1644,[374] N1 N2 N5 S7 N3 S3 N7 S7,2,61.001,36.594,17.751,18.762,0.000422 ,0.971604 ,
1644,[374] N1 N2 N5 S7 N7 S3 N3 S7,2,61.001,36.594,17.751,18.762,0.000211 ,0.971604 ,
1646,[325] N1 N2 N5 N3 S3 N7 S7 S6,3,61.016,36.609,17.766,18.777,0.000422 ,0.972026 ,
1647,[500] N1 N2 N5 N3 S3 N6 N4 S2 S3,0,61.026,36.619,17.776,18.787,0.000008 ,0.972050 ,
1647,[500] N1 N2 N5 N3 S3 S2 N4 N6 S3,0,61.026,36.619,17.776,18.787,0.000016 ,0.972050 ,
1649,[376] N1 N2 N5 S7 N3 S2 N4 N6 S3,2,61.034,36.627,17.784,18.795,0.000053 ,0.972102 ,
1650,[326] N1 N2 N5 N3 S7 N5 N3 S2 S1,3,61.048,36.641,17.798,18.809,0.000026 ,0.972129 ,
1651,[377] N1 N2 N5 N3 S7 N5 S5 N2 S1,2,61.053,36.646,17.803,18.814,0.000026 ,0.972241 ,
1651,[377] N1 N2 N5 S7 N3 N5 S5 N2 S1,2,61.053,36.646,17.803,18.814,0.000007 ,0.972241 ,
1651,[377] N1 N2 S5 N5 N3 S7 N5 N2 S1,2,61.053,36.646,17.803,18.814,0.000053 ,0.972241 ,
1651,[377] N1 N2 S5 N5 S7 N3 N5 N2 S1,2,61.053,36.646,17.803,18.814,0.000026 ,0.972241 ,
1655,[327] N1 N2 N5 N3 S2 N4 S1 N1 S4,3,61.104,36.697,17.854,18.865,0.000026 ,0.972373 ,
1655,[327] N1 S1 N4 S2 N3 N5 N2 N1 S4,3,61.104,36.697,17.854,18.865,0.000105 ,0.972373 ,
1657,[502] N1 N2 N5 N3 S2 S1 N1 N2 N5 N3 S7,0,61.109,36.702,17.859,18.87,0.000001 ,0.972374 ,
1658,[503] N1 N2 N5 N3 S2 S1 N1 N2 N5 N3 S3,0,61.126,36.719,17.876,18.887,0.000000 ,0.972374 ,
1659,[381] N1 N2 S5 N5 N3 S7 N5 N3 S2,2,61.137,36.73,17.887,18.898,0.000026 ,0.972400 ,
1660,[448] N1 N2 S1 N1 N2 N5 N3 S7 N5 S5,1,61.159,36.752,17.909,18.92,0.000004 ,0.972406 ,
1660,[448] N1 N2 S1 N1 N2 N5 S7 N3 N5 S5,1,61.159,36.752,17.909,18.92,0.000001 ,0.972406 ,
1662,[504] N1 N2 S1 N1 N2 N5 N3 S7 N7 S3,0,61.172,36.765,17.922,18.933,0.000004 ,0.972410 ,
1663,[450] N1 S8 N4 N6 S3 N3 N5 N2 N1 S8,1,61.174,36.767,17.924,18.935,0.000141 ,0.972550 ,
1664,[329] N1 N2 S1 N4 S2 N3 N5 N2 S1,3,61.186,36.779,17.936,18.947,0.000026 ,0.972577 ,
1665,[382] N1 N2 N5 S5 N2 N5 N3 S7 S6,2,61.187,36.78,17.937,18.948,0.000053 ,0.972629 ,
1666,[451] N1 N2 N5 S5 N2 N5 S7 N3 S3,1,61.189,36.782,17.939,18.95,0.000009 ,0.972642 ,
1666,[383] N1 N2 S1 N1 N2 N5 N3 S2 N4 S8,2,61.189,36.782,17.939,18.95,0.000003 ,0.972642 ,
1668,[505] N1 N2 N5 N3 S2 N4 N6 S3 N7 S7,0,61.211,36.804,17.961,18.972,0.000031 ,0.972673 ,
1669,[506] N1 N2 N5 N3 S7 N5 S5 N2 N1 S4,0,61.225,36.818,17.975,18.986,0.000004 ,0.972689 ,
1669,[506] N1 N2 N5 S7 N3 N5 S5 N2 N1 S4,0,61.225,36.818,17.975,18.986,0.000001 ,0.972689 ,
1669,[506] N1 N2 S5 N5 N3 S7 N5 N2 N1 S4,0,61.225,36.818,17.975,18.986,0.000008 ,0.972689 ,
1669,[506] N1 N2 S5 N5 S7 N3 N5 N2 N1 S4,0,61.225,36.818,17.975,18.986,0.000004 ,0.972689 ,
1673,[384] N1 N2 S1 N4 N6 S3 N3 S7,2,61.238,36.831,17.988,18.999,0.000844 ,0.973533 ,
1674,[385] N1 N2 N5 N3 S3 S2 N4 S8,2,61.239,36.832,17.989,19,0.000053 ,0.973586 ,
1675,[510] N1 N2 N5 N3 S7 N5 N2 N1 S4 S5,0,61.255,36.848,18.005,19.016,0.000031 ,0.973625 ,
1675,[510] N1 N2 N5 S7 N3 N5 N2 N1 S4 S5,0,61.255,36.848,18.005,19.016,0.000008 ,0.973625 ,
1677,[386] N1 S1 N2 N5 N3 S3 N6 N4 S8,2,61.256,36.849,18.006,19.017,0.000053 ,0.973678 ,
1678,[387] N1 N2 N5 S5 N2 N5 S5 N2 N5 S5,2,61.301,36.894,18.051,19.062,0.000002 ,0.973679 ,
1679,[452] N1 N2 N5 N3 S2 N4 S1 N2 N1 S4,1,61.358,36.951,18.108,19.119,0.000009 ,0.974251 ,
1679,[452] N1 N2 S1 N4 S2 N3 N5 N2 N1 S4,1,61.358,36.951,18.108,19.119,0.000035 ,0.974251 ,
1679,[388] N1 N2 N5 S5 N2 N1 S8 N4 N6 S3,2,61.358,36.951,18.108,19.119,0.000105 ,0.974251 ,
1679,[388] N1 N2 S5 N5 N2 N1 S8 N4 N6 S3,2,61.358,36.951,18.108,19.119,0.000422 ,0.974251 ,
1683,[512] N1 N2 N5 N3 S3 N6 N4 S1 N1 S8,0,61.377,36.97,18.127,19.138,0.000008 ,0.974274 ,
1683,[512] N1 S1 N4 N6 S3 N3 N5 N2 N1 S8,0,61.377,36.97,18.127,19.138,0.000016 ,0.974274 ,
1685,[390] N1 N2 N5 N3 S2 S3 N3 N5 S5,2,61.378,36.971,18.128,19.139,0.000013 ,0.974314 ,
1685,[390] N1 N2 N5 N3 S3 S2 N3 N5 S5,2,61.378,36.971,18.128,19.139,0.000026 ,0.974314 ,
1687,[330] N1 S1 N4 N6 S3 N3 N5 S5,3,61.394,36.987,18.144,19.155,0.000211 ,0.974525 ,
1688,[454] N1 N2 N5 N3 S3 N7 S7 N5 S5,1,61.411,37.004,18.161,19.172,0.000070 ,0.974612 ,
1688,[454] N1 N2 N5 S7 N7 S3 N3 N5 S5,1,61.411,37.004,18.161,19.172,0.000018 ,0.974612 ,
1690,[331] N1 N2 S1 N1 N2 S5 N5 N3 S7,3,61.438,37.031,18.188,19.199,0.000013 ,0.974626 ,
1691,[332] N1 N2 S1 N1 N2 S5 N5 N3 S3,3,61.455,37.048,18.205,19.216,0.000007 ,0.974632 ,
1692,[514] N1 N2 N5 N3 S7 N5 N3 S7 S6,0,61.468,37.061,18.218,19.229,0.000016 ,0.974648 ,
1693,[515] N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 S7,0,61.477,37.07,18.227,19.238,0.000000 ,0.974648 ,
1694,[392] N1 N2 S5 S4 N1 N2 N5 N3 S7,2,61.534,37.127,18.284,19.295,0.000422 ,0.975070 ,
1695,[456] N1 N2 S5 N5 N3 S3 N6 N4 S8,1,61.545,37.138,18.295,19.306,0.000035 ,0.975105 ,
1696,[393] N1 N2 S5 S4 N1 N2 N5 N3 S3,2,61.551,37.144,18.301,19.312,0.000211 ,0.975316 ,
