#,Pattern,,Time (seconds),,,,Probability,Cumulative probability,Node map
,,,Absolute,vs. best,vs. mean,vs. median,,,
164,[26] N1 S4 S5 N2 N1 S8,2,39.563,15.156,-3.687,-2.676,0.003375 ,0.361605 ,
166,[76] N1 S1 N2 N1 S1 N2 N1 S1,0,39.672,15.265,-3.578,-2.567,0.000016 ,0.361621 ,
167,[28] N1 S8 N4 S1 N1 S8,2,39.685,15.278,-3.565,-2.554,0.003375 ,0.364996 ,
168,[50] N1 N2 N5 S5 S6 S7,1,39.739,15.332,-3.511,-2.5,0.001125 ,0.366121 ,
169,[51] N1 S1 S2 N3 N5 N2 S5,1,39.787,15.38,-3.463,-2.452,0.000281 ,0.366402 ,
170,[77] N1 S1 N2 S5 N5 N2 S5,0,39.792,15.385,-3.458,-2.447,0.000031 ,0.366434 ,
171,[15] N1 S1 S2 N3 N5 S7,3,39.832,15.425,-3.418,-2.407,0.000422 ,0.366855 ,
172,[78] N1 N2 S1 N1 N2 S5 S4,0,39.835,15.428,-3.415,-2.404,0.000063 ,0.366918 ,
173,[29] N1 S1 N2 S5 N5 S7,2,39.837,15.43,-3.413,-2.402,0.000422 ,0.367340 ,
174,[52] N1 S4 S5 N2 N5 S7,1,39.933,15.526,-3.317,-2.306,0.001125 ,0.368465 ,
175,[79] N1 S8 N4 S1 N2 N1 S8,0,39.939,15.532,-3.311,-2.3,0.000125 ,0.368590 ,
176,[80] N1 N2 S1 N1 S8 N4 S2,0,39.94,15.533,-3.31,-2.299,0.000063 ,0.368777 ,
176,[80] N1 S1 N2 N1 S8 N4 S2,0,39.94,15.533,-3.31,-2.299,0.000125 ,0.368777 ,
178,[30] N1 S1 N2 N5 S5 S6,2,39.954,15.547,-3.296,-2.285,0.000422 ,0.369199 ,
179,[53] N1 N2 S1 S2 N3 N5 S7,1,40.086,15.679,-3.164,-2.153,0.000141 ,0.369340 ,
180,[82] N1 S1 S2 N3 N5 N2 N1 S1,0,40.09,15.683,-3.16,-2.149,0.000031 ,0.369371 ,
181,[83] N1 S1 N2 N5 S7 N3 S2,0,40.202,15.795,-3.048,-2.037,0.000016 ,0.369387 ,
182,[31] N1 N2 S1 N1 N2 S1 S2,2,40.267,15.86,-2.983,-1.972,0.000105 ,0.369492 ,
183,[32] N1 S4 S5 N5 N2 S1,2,40.271,15.864,-2.979,-1.968,0.006750 ,0.376242 ,
184,[33] N1 S4 S5 N5 N3 S2,2,40.355,15.948,-2.895,-1.884,0.003375 ,0.379617 ,
185,[84] N1 N2 N5 S7 N3 S2 S1,0,40.402,15.995,-2.848,-1.837,0.000031 ,0.379648 ,
186,[54] N1 N2 N5 S7 S6 S5,1,40.416,16.009,-2.834,-1.823,0.002250 ,0.381898 ,
187,[55] N1 S8 N4 N6 S3 S2,1,40.421,16.014,-2.829,-1.818,0.009000 ,0.390898 ,
188,[85] N1 S4 S5 N5 N2 N1 S4,0,40.443,16.036,-2.807,-1.796,0.001000 ,0.391898 ,
189,[86] N1 N2 S1 N1 N2 S5 S6,0,40.452,16.045,-2.798,-1.787,0.000031 ,0.391930 ,
190,[34] N1 N2 S5 S4 N1 S1,2,40.515,16.108,-2.735,-1.724,0.013500 ,0.408805 ,
190,[34] N1 S4 S5 N2 N1 S1,2,40.515,16.108,-2.735,-1.724,0.003375 ,0.408805 ,
192,[87] N1 N2 S1 N1 N2 S1 N1 S4,0,40.556,16.149,-2.694,-1.683,0.000008 ,0.408844 ,
192,[87] N1 S1 N2 N1 S1 N2 N1 S4,0,40.556,16.149,-2.694,-1.683,0.000031 ,0.408844 ,
194,[56] N1 S8 N4 S1 N2 S5,1,40.588,16.181,-2.662,-1.651,0.001125 ,0.409969 ,
195,[89] N1 S1 N4 N6 S3 S2,0,40.624,16.217,-2.626,-1.615,0.001000 ,0.410969 ,
196,[36] N1 S1 N4 S8 N1 S1,2,40.637,16.23,-2.613,-1.602,0.003375 ,0.414344 ,
197,[57] N1 N2 N5 S5 N2 S1 S2,1,40.69,16.283,-2.56,-1.549,0.000070 ,0.414695 ,
197,[57] N1 N2 S5 N5 N2 S1 S2,1,40.69,16.283,-2.56,-1.549,0.000281 ,0.414695 ,
199,[16] N1 N2 S5 S6 S7,3,40.695,16.288,-2.555,-1.544,0.006750 ,0.421445 ,
200,[90] N1 N2 S5 S4 N1 N2 S1,0,40.769,16.362,-2.481,-1.47,0.000250 ,0.421695 ,
201,[17] N1 S1 N4 S2 S1,3,40.801,16.394,-2.449,-1.438,0.001688 ,0.424227 ,
201,[17] N1 S1 S2 N4 S1,3,40.801,16.394,-2.449,-1.438,0.000844 ,0.424227 ,
203,[37] N1 S1 N2 N5 N3 S2 S1,2,40.802,16.395,-2.448,-1.437,0.000422 ,0.425070 ,
203,[37] N1 S1 S2 N3 N5 N2 S1,2,40.802,16.395,-2.448,-1.437,0.000422 ,0.425070 ,
205,[59] N1 S1 N2 N5 S5 N2 S1,1,40.807,16.4,-2.443,-1.432,0.000070 ,0.425281 ,
205,[59] N1 S1 N2 S5 N5 N2 S1,1,40.807,16.4,-2.443,-1.432,0.000141 ,0.425281 ,
207,[91] N1 N2 S1 N1 S8 N4 S1,0,40.891,16.484,-2.359,-1.348,0.000063 ,0.426039 ,
207,[91] N1 N2 S1 N4 S8 N1 S1,0,40.891,16.484,-2.359,-1.348,0.000125 ,0.426039 ,
207,[91] N1 S1 N2 N1 S8 N4 S1,0,40.891,16.484,-2.359,-1.348,0.000125 ,0.426039 ,
207,[91] N1 S1 N4 S8 N1 N2 S1,0,40.891,16.484,-2.359,-1.348,0.000125 ,0.426039 ,
207,[91] N1 S8 N4 S1 N1 N2 S1,0,40.891,16.484,-2.359,-1.348,0.000125 ,0.426039 ,
207,[91] N1 S8 N4 S1 N2 N1 S1,0,40.891,16.484,-2.359,-1.348,0.000125 ,0.426039 ,
207,[61] N1 S1 N2 S5 N5 N3 S2,1,40.891,16.484,-2.359,-1.348,0.000070 ,0.426039 ,
214,[97] N1 S1 N2 N1 S1 N2 N5 S5,0,40.913,16.506,-2.337,-1.326,0.000008 ,0.426047 ,
215,[98] N1 N2 N5 N3 S2 S1 N1 S4,0,40.974,16.567,-2.276,-1.265,0.000031 ,0.426141 ,
215,[98] N1 S1 S2 N3 N5 N2 N1 S4,0,40.974,16.567,-2.276,-1.265,0.000063 ,0.426141 ,
217,[100] N1 S4 S5 N2 N5 N3 S2,0,40.987,16.58,-2.263,-1.252,0.000125 ,0.426266 ,
218,[62] N1 N2 S1 N4 S2 S1,1,41.055,16.648,-2.195,-1.184,0.000563 ,0.427109 ,
218,[62] N1 N2 S1 S2 N4 S1,1,41.055,16.648,-2.195,-1.184,0.000281 ,0.427109 ,
220,[101] N1 N2 S1 S2 N3 N5 N2 S1,0,41.056,16.649,-2.194,-1.183,0.000016 ,0.427125 ,
221,[64] N1 N2 S5 N5 N3 S2 S1,1,41.091,16.684,-2.159,-1.148,0.000281 ,0.427406 ,
222,[65] N1 N2 N5 S5 S4 N1 S8,1,41.107,16.7,-2.143,-1.132,0.000563 ,0.430219 ,
222,[65] N1 S4 S5 N5 N2 N1 S8,1,41.107,16.7,-2.143,-1.132,0.002250 ,0.430219 ,
224,[67] N1 S8 N4 S2 N3 S7,1,41.172,16.765,-2.078,-1.067,0.004500 ,0.434719 ,
225,[68] N1 S8 N4 S2 N3 S3,1,41.189,16.782,-2.061,-1.05,0.002250 ,0.436969 ,
226,[69] N1 N2 S1 N1 N2 S1 N1 S8,1,41.22,16.813,-2.03,-1.019,0.000018 ,0.437057 ,
226,[69] N1 S1 N2 N1 S1 N2 N1 S8,1,41.22,16.813,-2.03,-1.019,0.000070 ,0.437057 ,
228,[39] N1 S1 S2 N4 N6 S3,2,41.303,16.896,-1.947,-0.936,0.003375 ,0.440432 ,
229,[19] N1 N2 S1 N1 S4 S5,3,41.333,16.926,-1.917,-0.906,0.001688 ,0.445494 ,
229,[19] N1 S1 N2 N1 S4 S5,3,41.333,16.926,-1.917,-0.906,0.003375 ,0.445494 ,
231,[102] N1 S4 S5 N5 N3 S7,0,41.36,16.953,-1.89,-0.879,0.001000 ,0.446494 ,
232,[103] N1 S1 N4 S2 N3 S7,0,41.375,16.968,-1.875,-0.864,0.000500 ,0.446994 ,
233,[104] N1 S4 S5 N5 N3 S3,0,41.377,16.97,-1.873,-0.862,0.000500 ,0.447494 ,
234,[105] N1 S1 N4 S2 N3 S3,0,41.392,16.985,-1.858,-0.847,0.000250 ,0.447744 ,
235,[40] N1 S4 S5 N2 N1 S4,2,41.399,16.992,-1.851,-0.84,0.006750 ,0.454494 ,
236,[21] N1 N2 S1 S2 N3 S7,3,41.499,17.092,-1.751,-0.74,0.000844 ,0.455338 ,
237,[22] N1 N2 S1 S2 N3 S3,3,41.516,17.109,-1.734,-0.723,0.000422 ,0.455760 ,
