#,Pattern,Time (msec),,,,Probability,Cumulative,
,,Absolute,vs. best,vs. mean,vs. median,,,
137,N1 S1 N2 N5 S5 N2 N1 S4,945000,18433.33333,4634.106429,5633.333333,1 / 4096,0.739501953,0.000244141
138,N1 N2 S1 N1 S8 N4 N6 S3,945000,18433.33333,4634.106429,5633.333333,1 / 512,0.741455078,0.001953125
139,N1 N2 S5 N5 S7 N3 S2,945033.3333,18466.66667,4667.439763,5666.666667,1 / 2048,0.741943359,0.000488281
140,N1 S1 N2 S5 N5 N2 N1 S4,945033.3333,18466.66667,4667.439763,5666.666667,1 / 2048,0.742431641,0.000488281
141,N1 N2 S1 N1 N2 N5 S7 S6,945166.6667,18600,4800.773096,5800,1 / 8192,0.742553711,0.00012207
142,N1 N2 S1 N1 N2 N5 S5 S4,945200,18633.33333,4834.106429,5833.333333,1 / 8192,0.742675781,0.00012207
143,N1 S1 N2 N1 S8 N4 N6 S3,945233.3333,18666.66667,4867.439763,5866.666667,1 / 256,0.746582031,0.00390625
144,N1 S8 N4 N6 S3 N7 S7,945500,18933.33333,5134.106429,6133.333333,1 / 16,0.809082031,0.0625
145,N1 S1 N2 N5 N3 S7 S6,945600,19033.33333,5234.106429,6233.333333,1 / 512,0.811035156,0.001953125
146,N1 S1 N2 N5 S5 N2 N5 S5,945800,19233.33333,5434.106429,6433.333333,1 / 16384,0.811096191,6.10352E-05
147,N1 N2 S1 N1 N2 S5 N5 S7,945833.3333,19266.66667,5467.439763,6466.666667,1 / 8192,0.811218262,0.00012207
148,N1 N2 S1 N1 N2 S1 N1 N2 S1,945933.3333,19366.66667,5567.439763,6566.666667,1 / 65536,0.811233521,1.52588E-05
149,N1 N2 S1 N1 N2 N5 S5 S6,946066.6667,19500,5700.773096,6700,1 / 16384,0.811294556,6.10352E-05
150,N1 N2 N5 S5 S4 N1 N2 S1,946166.6667,19600,5800.773096,6800,1 / 2048,0.811782837,0.000488281
151,N1 N2 S1 S2 N3 N5 N2 N1 S8,946233.3333,19666.66667,5867.439763,6866.666667,1 / 8192,0.811904907,0.00012207
152,N1 N2 N5 N3 S2 S1 N2 N1 S8,946266.6667,19700,5900.773096,6900,1 / 8192,0.812026978,0.00012207
153,N1 S1 N2 S5 N5 N3 S7,946366.6667,19800,6000.773096,7000,1 / 2048,0.812515259,0.000488281
154,N1 S1 N2 S5 N5 N3 S3,946466.6667,19900,6100.773096,7100,1 / 4096,0.812759399,0.000244141
155,N1 S1 N2 N5 S5 N2 N5 S7,946500,19933.33333,6134.106429,7133.333333,1 / 16384,0.812820435,6.10352E-05
156,N1 N2 S5 N5 S7 N7 S3,946500,19933.33333,6134.106429,7133.333333,1 / 512,0.81477356,0.001953125
157,N1 N2 N5 S7 N3 S2 S3,946666.6667,20100,6300.773096,7300,1 / 4096,0.8150177,0.000244141
158,N1 S1 N4 S2 N3 N5 S5,946866.6667,20300,6500.773096,7500,1 / 1024,0.815994263,0.000976563
159,N1 S1 N4 N6 S3 N3 S2,946966.6667,20400,6600.773096,7600,1 / 256,0.819900513,0.00390625
160,N1 N2 S1 N1 N2 N5 N3 S2 S1,946966.6667,20400,6600.773096,7600,1 / 16384,0.819961548,6.10352E-05
161,N1 S1 N2 N1 S1 N2 N5 N3 S2,947100,20533.33333,6734.106429,7733.333333,1 / 16384,0.820022583,6.10352E-05
162,N1 N2 N5 N3 S2 S1 N1 N2 S1,947100,20533.33333,6734.106429,7733.333333,1 / 16384,0.820083618,6.10352E-05
163,N1 N2 S1 S2 N3 N5 N2 N1 S1,947100,20533.33333,6734.106429,7733.333333,1 / 8192,0.820205688,0.00012207
164,N1 N2 N5 N3 S2 S1 N2 N1 S1,947133.3333,20566.66667,6767.439763,7766.666667,1 / 8192,0.820327759,0.00012207
165,N1 S1 N2 N5 N3 S3 S2,947233.3333,20666.66667,6867.439763,7866.666667,1 / 2048,0.82081604,0.000488281
166,N1 S1 N4 S2 N3 N5 S7,947333.3333,20766.66667,6967.439763,7966.666667,1 / 1024,0.821792603,0.000976563
